blur_kernel,avg_detections,std_detections
0,25.44,23.038367997755397
3,24.56,20.605979714636234
5,24.08,19.769511880671207
7,22.8,18.559094805512473
9,21.86,17.206986952979303
11,20.98,16.495441794629205
