blur_kernel,avg_detections,std_detections
0,30.38,25.702054392596715
3,30.0,24.601625962525322
5,28.88,23.07608285649885
7,27.14,20.792315888327593
9,26.3,19.73448757885545
11,25.32,18.325326736514143
