scale,avg_detections,std_detections,avg_inference_time,fps
0.5,28.9,22.87028639960593,54.8767614364624,18.22264969403895
0.75,29.94,24.527869862668467,55.562472343444824,17.997759239703424
1.0,30.38,25.702054392596715,55.92202663421631,17.882041481453438
1.25,30.2,24.991198450654583,53.02235126495361,18.859970864041518
1.5,30.3,25.307113624433743,53.324055671691895,18.75326224540849
