noise_sigma,avg_detections,std_detections
0,30.38,25.702054392596715
10,26.16,23.452385806139215
20,21.84,20.98700550340615
30,15.94,16.916749096679304
40,9.92,12.540877162304078
50,4.22,6.165354815418168
