scale,avg_detections,std_detections,avg_inference_time_ms,fps
0.5,23.88,19.709530689491316,64.06655311584473,15.608768559654
0.75,24.58,20.889317844295444,60.19442081451416,16.612835317104317
1.0,25.44,23.038367997755397,65.53908824920654,15.258070057331118
1.25,25.26,22.041606112078128,57.079668045043945,17.51937308414019
1.5,25.38,22.14848979050265,69.80629444122314,14.325355729088288
