noise_sigma,avg_detections,std_detections
0,25.44,23.038367997755397
10,21.2,20.14249239791342
20,16.1,16.099999999999998
30,10.62,11.608427972813544
40,5.76,6.677005316756907
50,2.3,3.207802986469088
